[15:56:27.712] Namespace(base_lr=0.01, batch_size=4, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', dataset_name='LA', deterministic=1, ema_decay=0.99, exp='vnet', gpu='1', labeled_bs=2, labelnum=25, max_iterations=6000, max_samples=123, model='MT', root_path='/data/omnisky/postgraduate/Yb/data_set/LASet/data', seed=1337)
[15:56:30.467] 12 itertations per epoch
[15:56:31.950] iteration 1 : loss : 0.648477 cons_dist: 0.044150, loss_weight: 0.000674
[15:56:32.431] iteration 2 : loss : 0.709815 cons_dist: 0.025248, loss_weight: 0.000674
[15:56:32.911] iteration 3 : loss : 0.649714 cons_dist: 0.017119, loss_weight: 0.000674
[15:56:33.391] iteration 4 : loss : 0.653799 cons_dist: 0.023971, loss_weight: 0.000674
[15:56:33.874] iteration 5 : loss : 0.585859 cons_dist: 0.036402, loss_weight: 0.000674
[15:56:34.359] iteration 6 : loss : 0.570653 cons_dist: 0.034763, loss_weight: 0.000674
[15:56:34.842] iteration 7 : loss : 0.580970 cons_dist: 0.029051, loss_weight: 0.000674
[15:56:35.326] iteration 8 : loss : 0.642537 cons_dist: 0.036631, loss_weight: 0.000674
[15:56:35.810] iteration 9 : loss : 0.525277 cons_dist: 0.031650, loss_weight: 0.000674
[15:56:36.295] iteration 10 : loss : 0.572216 cons_dist: 0.032061, loss_weight: 0.000674
[15:56:36.779] iteration 11 : loss : 0.560257 cons_dist: 0.023680, loss_weight: 0.000674
[15:56:37.262] iteration 12 : loss : 0.492421 cons_dist: 0.034016, loss_weight: 0.000674
[15:56:38.428] iteration 13 : loss : 0.548039 cons_dist: 0.029095, loss_weight: 0.000674
[15:56:38.913] iteration 14 : loss : 0.577137 cons_dist: 0.045273, loss_weight: 0.000674
[15:56:39.397] iteration 15 : loss : 0.470491 cons_dist: 0.053113, loss_weight: 0.000674
[15:56:39.882] iteration 16 : loss : 0.491094 cons_dist: 0.085049, loss_weight: 0.000674
[15:56:40.367] iteration 17 : loss : 0.477193 cons_dist: 0.022060, loss_weight: 0.000674
[15:56:40.851] iteration 18 : loss : 0.491101 cons_dist: 0.013518, loss_weight: 0.000674
[15:56:41.337] iteration 19 : loss : 0.569773 cons_dist: 0.041151, loss_weight: 0.000674
[15:56:41.823] iteration 20 : loss : 0.417073 cons_dist: 0.052431, loss_weight: 0.000674
[15:56:42.309] iteration 21 : loss : 0.539605 cons_dist: 0.020000, loss_weight: 0.000674
[15:56:42.794] iteration 22 : loss : 0.455076 cons_dist: 0.021375, loss_weight: 0.000674
[15:56:43.277] iteration 23 : loss : 0.500122 cons_dist: 0.029475, loss_weight: 0.000674
[15:56:43.765] iteration 24 : loss : 0.459218 cons_dist: 0.045018, loss_weight: 0.000674
[15:56:44.807] iteration 25 : loss : 0.511832 cons_dist: 0.009777, loss_weight: 0.000674
[15:56:45.295] iteration 26 : loss : 0.457977 cons_dist: 0.019040, loss_weight: 0.000674
[15:56:45.784] iteration 27 : loss : 0.424166 cons_dist: 0.022586, loss_weight: 0.000674
