[13:02:07.725] Namespace(D_lr=0.0001, base_lr=0.01, batch_size=4, beta=0.3, consistency=0.01, consistency_rampup=40.0, dataset_name='LA', deterministic=1, ema_decay=0.99, exp='vnet', gamma=0.5, gpu='2', labeled_bs=2, labelnum=25, max_iterations=6000, max_samples=123, model='SASSNet', root_path='/data/omnisky/postgraduate/Yb/data_set/LASet/data', seed=1337)
[13:02:10.708] 12 itertations per epoch
[13:02:13.311] iteration 1 : loss : 0.749962, loss_weight: 0.000067, loss_haus: 0.195604, loss_seg: 0.689958, loss_dice: 0.691233
[13:02:14.944] iteration 2 : loss : 0.696851, loss_weight: 0.000067, loss_haus: 0.166408, loss_seg: 0.676768, loss_dice: 0.646883
[13:02:16.536] iteration 3 : loss : 0.797265, loss_weight: 0.000067, loss_haus: 0.177402, loss_seg: 0.739115, loss_dice: 0.743997
[13:02:18.139] iteration 4 : loss : 0.769859, loss_weight: 0.000067, loss_haus: 0.287853, loss_seg: 0.727548, loss_dice: 0.683464
[13:02:19.756] iteration 5 : loss : 0.560075, loss_weight: 0.000067, loss_haus: 0.146371, loss_seg: 0.618711, loss_dice: 0.516137
[13:02:21.366] iteration 6 : loss : 0.666768, loss_weight: 0.000067, loss_haus: 0.182247, loss_seg: 0.662977, loss_dice: 0.612036
[13:02:22.971] iteration 7 : loss : 0.696658, loss_weight: 0.000067, loss_haus: 0.168828, loss_seg: 0.660598, loss_dice: 0.645938
[13:02:24.576] iteration 8 : loss : 0.601925, loss_weight: 0.000067, loss_haus: 0.322817, loss_seg: 0.687367, loss_dice: 0.505001
[13:02:26.192] iteration 9 : loss : 0.676060, loss_weight: 0.000067, loss_haus: 0.196860, loss_seg: 0.625844, loss_dice: 0.616883
[13:02:27.824] iteration 10 : loss : 0.519154, loss_weight: 0.000067, loss_haus: 0.139652, loss_seg: 0.562124, loss_dice: 0.477182
[13:02:29.434] iteration 11 : loss : 0.608526, loss_weight: 0.000067, loss_haus: 0.203528, loss_seg: 0.594724, loss_dice: 0.547413
[13:02:31.047] iteration 12 : loss : 0.506591, loss_weight: 0.000067, loss_haus: 0.218111, loss_seg: 0.578167, loss_dice: 0.441131
[13:02:33.305] iteration 13 : loss : 0.627515, loss_weight: 0.000067, loss_haus: 0.163978, loss_seg: 0.635133, loss_dice: 0.578303
[13:02:34.899] iteration 14 : loss : 0.556282, loss_weight: 0.000067, loss_haus: 0.158271, loss_seg: 0.557047, loss_dice: 0.508776
[13:02:36.473] iteration 15 : loss : 0.632562, loss_weight: 0.000067, loss_haus: 0.128089, loss_seg: 0.548389, loss_dice: 0.594106
[13:02:38.096] iteration 16 : loss : 0.598657, loss_weight: 0.000067, loss_haus: 0.148034, loss_seg: 0.574815, loss_dice: 0.554211
[13:02:39.692] iteration 17 : loss : 0.417776, loss_weight: 0.000067, loss_haus: 0.132965, loss_seg: 0.621336, loss_dice: 0.377840
[13:02:41.327] iteration 18 : loss : 0.551624, loss_weight: 0.000067, loss_haus: 0.136491, loss_seg: 0.562645, loss_dice: 0.510628
[13:02:42.918] iteration 19 : loss : 0.719389, loss_weight: 0.000067, loss_haus: 0.143575, loss_seg: 0.695119, loss_dice: 0.676267
