[21:11:46.921] Namespace(base_lr=0.01, batch_size=4, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', dataset_name='LA', deterministic=1, ema_decay=0.99, exp='vnet', gpu='2', labeled_bs=2, labelnum=25, max_iterations=10000, max_samples=123, model='UAMT', root_path='/data/omnisky/postgraduate/Yb/data_set/LASet/', seed=1337)
[21:12:22.585] Namespace(base_lr=0.01, batch_size=4, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', dataset_name='LA', deterministic=1, ema_decay=0.99, exp='vnet', gpu='2', labeled_bs=2, labelnum=25, max_iterations=10000, max_samples=123, model='UAMT', root_path='/data/omnisky/postgraduate/Yb/data_set/LASet/data', seed=1337)
[21:12:25.376] 12 itertations per epoch
[21:12:27.742] iteration 1 : loss : 0.648542 cons_dist: 0.140832, loss_weight: 0.000674
[21:12:28.614] iteration 2 : loss : 0.704431 cons_dist: 0.054942, loss_weight: 0.000674
[21:12:29.486] iteration 3 : loss : 0.690068 cons_dist: 0.052918, loss_weight: 0.000674
[21:12:30.354] iteration 4 : loss : 0.736409 cons_dist: 0.026143, loss_weight: 0.000674
[21:12:31.226] iteration 5 : loss : 0.581076 cons_dist: 0.044107, loss_weight: 0.000674
[21:12:32.100] iteration 6 : loss : 0.595807 cons_dist: 0.236979, loss_weight: 0.000674
[21:12:32.975] iteration 7 : loss : 0.600372 cons_dist: 0.049813, loss_weight: 0.000674
[21:12:33.850] iteration 8 : loss : 0.546738 cons_dist: 0.112363, loss_weight: 0.000674
[21:12:34.724] iteration 9 : loss : 0.604670 cons_dist: 0.041596, loss_weight: 0.000674
[21:12:35.600] iteration 10 : loss : 0.516904 cons_dist: 0.019995, loss_weight: 0.000674
[21:12:36.475] iteration 11 : loss : 0.553437 cons_dist: 0.037849, loss_weight: 0.000674
[21:12:37.351] iteration 12 : loss : 0.520342 cons_dist: 0.065029, loss_weight: 0.000674
[21:12:39.025] iteration 13 : loss : 0.582556 cons_dist: 0.052344, loss_weight: 0.000674
[21:12:39.903] iteration 14 : loss : 0.551169 cons_dist: 0.032346, loss_weight: 0.000674
[21:12:40.781] iteration 15 : loss : 0.498622 cons_dist: 0.018312, loss_weight: 0.000674
[21:12:41.661] iteration 16 : loss : 0.501305 cons_dist: 0.005622, loss_weight: 0.000674
[21:12:42.540] iteration 17 : loss : 0.442567 cons_dist: 0.020151, loss_weight: 0.000674
[21:12:43.420] iteration 18 : loss : 0.515569 cons_dist: 0.029576, loss_weight: 0.000674
[21:12:44.302] iteration 19 : loss : 0.551293 cons_dist: 0.025837, loss_weight: 0.000674
